SkewTentCell_0_init_state_i;"=AVERAGE(G40:G65536)"
SkewTentCell_1_init_state_i;"=AVERAGE(H40:H65536)"
PwlcCell_3_end_state_o;"=AVERAGE(AD40:AD65536)"
PwlcCell_2_init_state_i;"=AVERAGE(C40:C65536)"
SkewTentCell_3_init_state_i;"=AVERAGE(J40:J65536)"
broadcastKeys;"=AVERAGE(M40:M65536)"
PwlcCell_1_init_state_i;"=AVERAGE(B40:B65536)"
SkewTentCell_2_init_state_i;"=AVERAGE(I40:I65536)"
PwlcCell_0_end_state_o;"=AVERAGE(AA40:AA65536)"
ReadKeys_init_iter;"=AVERAGE(E40:E65536)"
PwlcCell_3_init_state_i;"=AVERAGE(D40:D65536)"
ReadKeys_init_keysIn;"=AVERAGE(F40:F65536)"
writeResults;"=AVERAGE(AW40:AW65536)"
ReadKeys_end_nextIter;"=AVERAGE(L40:L65536)"
implode_Xor1_0_samples;"=AVERAGE(AQ40:AQ65536)"
PwlcCell_1_end_state_o;"=AVERAGE(AB40:AB65536)"
xor;"=AVERAGE(AM40:AM65536;AN40:AN65536;AO40:AO65536;AP40:AP65536;AS40:AS65536;AT40:AT65536;AV40:AV65536)"
PwlcCell_2_end_state_o;"=AVERAGE(AC40:AC65536)"
implode_Xor1_1_samples;"=AVERAGE(AR40:AR65536)"
pwlcCell;"=AVERAGE(S40:S65536;T40:T65536;U40:U65536;V40:V65536)"
fork_3;"=AVERAGE(R40:R65536)"
fork_2;"=AVERAGE(Q40:Q65536)"
fork_1;"=AVERAGE(P40:P65536)"
readKeys;"=AVERAGE(K40:K65536)"
fork_0;"=AVERAGE(O40:O65536)"
SkewTentCell_0_end_state_o;"=AVERAGE(AE40:AE65536)"
broadcastKeys_end_out1_8_0;"=AVERAGE(N40:N65536)"
join_3;"=AVERAGE(AL40:AL65536)"
implode_Xor2_samples;"=AVERAGE(AU40:AU65536)"
join_2;"=AVERAGE(AK40:AK65536)"
join_1;"=AVERAGE(AJ40:AJ65536)"
join_0;"=AVERAGE(AI40:AI65536)"
SkewTentCell_1_end_state_o;"=AVERAGE(AF40:AF65536)"
SkewTentCell_3_end_state_o;"=AVERAGE(AH40:AH65536)"
PwlcCell_0_init_state_i;"=AVERAGE(A40:A65536)"
SkewTentCell_2_end_state_o;"=AVERAGE(AG40:AG65536)"
skewTentCell;"=AVERAGE(W40:W65536;X40:X65536;Y40:Y65536;Z40:Z65536)"
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;696000000.00;0.00;6000000.00;0.00;5000000.00;5000000.00;6000000.00;5000000.00;15116000256.00;15900999680.00;15285000192.00;15136000000.00;14261999616.00;14440999936.00;13936000000.00;14394000384.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;578000000.00;360000000.00;825000000.00;354000000.00;1268000000.00;1160000000.00;1159000064.00;1198000000.00;379000000.00;449000000.00;1160999936.00;1103000064.00;318000000.00;1057000000.00;999000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;749000000.00;0.00;5000000.00;0.00;5000000.00;6000000.00;5000000.00;5000000.00;14860999680.00;15233000448.00;15713000448.00;14782000128.00;14234000384.00;14286000128.00;14030000128.00;14327000064.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;572000000.00;359000000.00;897000000.00;356000000.00;1167000064.00;1164999936.00;1151000064.00;1300999936.00;377000000.00;355000000.00;1171000064.00;1092999936.00;302000000.00;1118000000.00;995000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;696000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;6000000.00;5000000.00;16485000192.00;16110999552.00;14924999680.00;15706999808.00;14371999744.00;14247999488.00;14053000192.00;14446000128.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;591000000.00;356000000.00;923000000.00;358000000.00;1164000000.00;1164999936.00;1155000064.00;1306000000.00;383000000.00;357000000.00;1156999936.00;1096999936.00;302000000.00;985000000.00;1122000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;697000000.00;0.00;5000000.00;0.00;5000000.00;6000000.00;5000000.00;5000000.00;16056999936.00;15889999872.00;15630000128.00;15980999680.00;14344999936.00;14005000192.00;13946999808.00;14220000256.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;564000000.00;357000000.00;819000000.00;357000000.00;1276000000.00;1158000000.00;1158000000.00;1212000000.00;380000000.00;347000000.00;1259000064.00;1107000064.00;317000000.00;1072000000.00;988000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;694000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;16179000320.00;16528000000.00;15804999680.00;16339999744.00;14446000128.00;14140000256.00;14090999808.00;14151000064.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;576000000.00;357000000.00;834000000.00;450000000.00;1168999936.00;1156000000.00;1156000000.00;1307000064.00;379000000.00;355000000.00;1162000000.00;1083000064.00;314000000.00;1063000000.00;1124000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;700000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;5000000.00;6000000.00;16058000384.00;15896999936.00;15745999872.00;16064000000.00;14364999680.00;14261999616.00;14074999808.00;14288000000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;561000000.00;356000000.00;810000000.00;448000000.00;1172000000.00;1164999936.00;1159000064.00;1196999936.00;480000000.00;358000000.00;1155000064.00;1092999936.00;335000000.00;1013000000.00;1124999936.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;683000000.00;0.00;5000000.00;0.00;5000000.00;5000000.00;6000000.00;5000000.00;16392999936.00;16625000448.00;16698999808.00;16014999552.00;14229000192.00;14305000448.00;14236999680.00;14092999680.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;658000000.00;357000000.00;820000000.00;360000000.00;1168999936.00;1152999936.00;1256000000.00;1204999936.00;383000000.00;355000000.00;1152999936.00;1086000000.00;328000000.00;1176000000.00;999000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;752000000.00;0.00;6000000.00;0.00;5000000.00;5000000.00;5000000.00;5000000.00;15829000192.00;16135000064.00;15616000000.00;15687999488.00;14368000000.00;14325999616.00;13879000064.00;14286000128.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;574000000.00;361000000.00;920000000.00;359000000.00;1168000000.00;1160000000.00;1151000064.00;1300000000.00;379000000.00;357000000.00;1168000000.00;1064000000.00;331000000.00;1127000064.00;995000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;695000000.00;0.00;5000000.00;0.00;5000000.00;6000000.00;5000000.00;5000000.00;15927000064.00;16072999936.00;16033000448.00;15911000064.00;14215000064.00;14325999616.00;14106000384.00;14311999488.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;573000000.00;355000000.00;926000000.00;358000000.00;1172999936.00;1152000000.00;1154000000.00;1292999936.00;383000000.00;359000000.00;1160000000.00;1100999936.00;313000000.00;1160999936.00;1013000000.00;
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;699000000.00;0.00;5000000.00;0.00;5000000.00;6000000.00;5000000.00;5000000.00;16602000384.00;16170999808.00;15745000448.00;15898999808.00;14240000000.00;14316999680.00;14035999744.00;14318000128.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;567000000.00;358000000.00;886000000.00;359000000.00;1170000000.00;1163000064.00;1164000000.00;1264999936.00;387000000.00;355000000.00;1163000064.00;1096999936.00;329000000.00;1127000064.00;1007000000.00;
